district,ward,village,latitude,langitude,year,hh_served,functional_stat,pump_type,outlet,soak_away_pit,protecte,date_of_last_visit,vpm_visits_yearly,bh_committe,seasonality,aquifer_yield,bh_depth,palatabilit,total_dissolved_solids
Mutare,10,Muangirwa,-19.1698938,32.2940721,1991,20,Partially Functional,Bush Pump Type A,1,False,Yes,2023-04-03,4,Functional,Perennial,17.0,67,False,821
Mutare,10,Muangirwa,-19.192188,32.2952998,1994,25,Partially Functional,Bush Pump Type B,1,True,Yes,2023-04-24,3,Functional,Seasonal,0.261089562,23,False,923
Chipinge,23,Kungai,-20.6675826,32.4465192,1989,50,Fully Functional,Bush Pump Type B,1,True,Yes,2022-02-06,2,Functional,Perennial,0.670470106,51,False,914
Chipinge,23,Mandega 1,-20.6137019,32.46174,2014,18,Fully Functional,Bush Pump Type B,1,True,Yes,2023-01-05,6,Functional,Perennial,18.0,85,True,26
Chipinge,23,Zamchiya,-20.2215518,32.4404238,1987,30,Fully Functional,Bush Pump Type B,1,True,Yes,2022-12-24,2,Functional,Perennial,0.385262564,99,True,542
Chipinge,23,Tuto,-20.7483252,32.4613546,1992,30,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-03,3,Functional,Perennial,46.0,92,True,284
Chipinge,23,Tuto,-20.7540008,32.4746036,1992,60,Fully Functional,Bush Pump Type B,1,False,Yes,2023-03-17,6,Functional,Perennial,5.0,34,True,129
Chipinge,23,Chimoio,-20.7010884,32.4008027,1985,0,Non-Functional,Bush Pump Type B,1,False,No,2023-03-09,3,Functional,Perennial,0.884409771,73,True,548
Makoni,3,Taimu,-17.8994633,32.3996756,1986,50,Fully Functional,Bush Pump Type B,1,False,Yes,2022-09-04,2,Functional,Perennial,18.0,21,True,577
Chimanimani,8,Dirikwe,-19.2400317,32.4143508,1988,32,Fully Functional,Bush Pump Type B,1,True,No,2022-09-17,2,Functional,Perennial,3.0,63,True,40
Chipinge,15,Mariseta,-20.5288621,32.59347095,1988,11,Fully Functional,National Pump,1,False,Yes,2022-06-04,2,Functional,Perennial,7.0,63,True,442
Mutare,36,Maunga,-19.3151753,32.5628909,1988,44,Partially Functional,Bush Pump Type B,1,True,Yes,2023-02-03,6,Functional,Perennial,0.455913829,81,False,766
Mutare,36,Dzobo,-19.2914524,32.5414466,1997,35,Partially Functional,Bush Pump Type B,12,False,Yes,2023-03-28,6,Functional,Perennial,0.452291937,56,False,934
Mutare,36,Mbiza,-19.3120348,32.5281195,1982,50,Fully Functional,Bush Pump Type B,1,False,No,2022-02-05,1,Non-Functional,Seasonal,0.303200321,81,False,802
Mutare,36,Jarawani,-19.3063267,32.4719637,1983,30,Partially Functional,Rope and Bucket,1,False,Yes,2022-11-05,1,Non-Functional,Seasonal,0.862382325,111,False,600
Mutare,36,Jarawani,-19.3031637,32.4785834,2001,20,Fully Functional,Bush Pump Type B,1,False,Yes,2023-05-09,3,Functional,Perennial,0.26509371,36,False,604
Mutare,36,Jarawani,-19.2463002,32.423351,1990,17,Fully Functional,Bush Pump Type B,1,False,Yes,2023-01-11,5,Functional,Seasonal,0.757513074,90,False,984
Mutare,36,Derembwe,-19.3128259,32.5075127,2014,36,Fully Functional,Bush Pump Type B,12,False,Yes,2023-03-08,4,Functional,Perennial,0.568086812,111,True,540
Nyanga,2,Chibvembe,-17.317151,32.712624,1992,25,Fully Functional,Submersible Pump,6,False,Yes,2023-05-07,6,Functional,Perennial,41.0,73,True,263
Buhera,10,Chifamba,-19.1556748,31.7451388,1992,0,Non-Functional,National Pump,1,False,Yes,2022-07-22,2,Non-existent,Seasonal,0.376811811,98,True,269
Mutare,36,Rafemoyo,-19.3038607,32.5658939,1986,59,Fully Functional,Bush Pump Type B,1,False,Yes,2023-03-27,3,Functional,Perennial,0.702594107,22,False,879
Chipinge,22,Mukuyu B,-20.6756299,32.3400709,1986,41,Fully Functional,Submersible Pump,6,False,Yes,2023-04-19,4,Functional,Perennial,13.0,83,True,572
Nyanga,2,Kadyamusuma,-17.4961696,32.7772433,1990,60,Non-Functional,Bush Pump Type B,1,False,Yes,2022-03-10,1,Functional,Seasonal,36.0,30,True,14
Nyanga,2,Kadyamusuma,-17.4913299,32.784497,2001,42,Fully Functional,Bush Pump Type B,1,False,Yes,2023-05-24,4,Functional,Seasonal,0.385310198,58,True,499
Nyanga,2,Chifambe,-17.4453423,32.2513131,2013,33,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-12,3,Functional,Seasonal,2.0,20,True,572
Nyanga,2,Chifambe,-17.507123,32.7613952,1972,16,Non-Functional,Bush Pump Type B,1,False,Yes,2022-04-08,1,Functional,Seasonal,0.419647652,92,True,175
Nyanga,2,Chikata,-17.52851,32.7727296,1992,41,Partially Functional,Bush Pump Type B,1,True,Yes,2023-01-06,3,Functional,Seasonal,3.0,111,True,171
Nyanga,2,Chifambe,-17.4975083,32.7667934,2015,50,Non-Functional,Bush Pump Type B,1,False,Yes,2022-03-22,2,Non-existent,Seasonal,0.181221621,84,True,74
Nyanga,2,Chitambara,-17.4516726,32.7636717,1953,20,Non-Functional,Bush Pump Type B,1,False,Yes,2022-02-08,1,Non-functional,Seasonal,0.995137886,51,True,15
Nyanga,2,Gohoto,-17.47227,32.769133,2020,28,Fully Functional,Bush Pump Type B,1,True,Yes,2023-05-18,6,Functional,Perennial,33.0,31,True,274
Nyanga,2,Jimu,-17.4257871,32.8285721,1970,40,Partially Functional,Bush Pump Type B,1,False,Yes,2022-10-20,2,Functional,Seasonal,0.779162645,99,True,503
Nyanga,2,Jani,-17.4897443,32.7070737,1990,34,Partially Functional,Bush Pump Type B,1,False,Yes,2023-02-21,3,Non-existent,Seasonal,0.582518265,27,False,883
Nyanga,2,Kadyamusuma,-17.4852101,32.7818023,2015,20,Non-Functional,Bush Pump Type B,1,False,Yes,2022-09-21,1,Non-functional,Seasonal,0.254010827,58,False,626
Nyanga,2,Chitambara,-17.4620252,32.7501583,2005,54,Fully Functional,Bush Pump Type B,12,True,Yes,2023-04-12,5,Functional,Perennial,18.0,89,True,82
